# date|trend|title
2026-09-22|mixed|CPU重估点燃存储，光模块通信链被抽血
2026-09-21|mixed|医药规划虹吸67亿，半导体高开低走
2026-09-18|up|外围AI硬件三连涨接力，电子单日回补198亿
2026-09-17|mixed|加息落地鹰派指引，主线兑现换仓
2026-09-16|up|订单数据接管，半导体放量反攻
2026-09-15|up|费半暴跌5.86%，半导体逆势反包
2026-09-14|mixed|AI限速呼声发酵，资金切PCB与医药
2026-09-08|down|算力主线获利兑现，资金高低切农业
2026-09-07|up|高盛唱多叠加GPT-6，光模块主线暴力回归
2026-09-03|down|外围AI强验证，A股主线缩量阴跌
2026-09-02|down|美债新高叠加美伊升级，算力主线续跌
2026-09-01|down|费半逆势涨而A股硬科技崩，流动性驱动的高低切换
2026-08-31|mixed|外围利空下低开高走，主线内部换仓
2026-08-28|down|英伟达利好兑现，算力主线获利回吐
2026-08-27|up|英伟达财报引爆算力，存储涨价共振
2026-08-26|up|英伟达财报前夜，半导体+存储领涨反弹
2026-08-25|mixed|缩量反弹，主线换仓：存储逆势走强
2026-08-24|down|CPO三重利空引爆主线杀跌，高低切换加剧
2026-08-21|up|CPO走强港股大模型暴涨
2026-08-20|mixed|暴跌次日企稳分化，资金高低切医药
2026-08-19|down|美债利率风暴，科技主线恐慌杀跌
2026-08-18|mixed|算力高位分歧，资金高低切换
2026-08-17|up|英伟达CPO量产+AMD大涨，主线全面反攻
2026-08-14|mixed|CPO独强吸金116亿，存储修复高低切
2026-08-13|mixed|天孚独涨撑CPO，大盘放量高低切
2026-08-12|up|Lumentum业绩爆表+源杰42亿扩产，CPO全线反攻
2026-08-10|down|CPO 三重利空叠加，「易中天」蒸发 1300 亿；胜宏/北方华创逆势翻红
2026-08-06|up|英伟达驱动 CPO/封测链共振，长电涨停；DeepSeek 涨价引爆算力租赁
